231907,Anna Of The North,All I Want
231908,Mating Ritual,Swim
231909,Thee Midniters,The Town I Live In
231910,Charlie Wilson,Let's Chill
231911,Amir Obe,Bloodshot
231912,Blackstreet,Joy
231913,Erykah Badu,Love Of My Life (An Ode To Hip Hop)
231914,Ben E. King,Will You Still Love Me Tomorrow
231915,Tim Atlas,Ten Goodbyes
231916,Kelela,S.O.S.
231917,Ibeyi,Rise Up Wise Up Eyes Up
231918,John Legend,Asylum
231919,Mary J. Blige,You Bring Me Joy
231920,ROZES,Famous
231921,Estelle,So Easy (feat. Luke James)
231922,Kennedy Rd.,King Of Hearts
231923,The Time,The Bird
231924,RITUAL,Bottle Tops
231925,Dwn2earth,T.L.C
231926,The Time,Gigolos Get Lonely Too
231927,SALES,Vow
231928,Theo Katzman,White Picket Castle
231929,Corinne Bailey Rae,I'd Do It All Again
231930,Vindata,Right Now (feat. Njomza and Alex & Alex)
231931,PLAZA,Pick Up
231932,Chrome Sparks,Send The Pain On
231933,Billie Holiday,On The Sunny Side Of The Street
231934,Dr. John,Big Chief
231935,Minnie Riperton,Memory Lane
231936,Quincy Jones,Slow Jams
231937,GEMS,w/o u
231938,Bilal,Bury Me Next To You
231939,The Roots,No John Trumbull - Intro
231940,Frankie Valli & The Four Seasons,An Angel Cried
231941,John Legend,Made to Love - Live from Spotify Milan
231942,John Legend,Wanna Be Loved
231943,Z.Z. Hill,Someone Else Is Steppin' In
231944,Treazon,Lone Wolf (feat. Sylvan LaCue)
231945,The Chi-Lites,Are You My Woman (Tell Me So)
231946,Janelle Monáe,Many Moons
231947,anders,Press It Up
231948,Ray Charles,Hard Times (No One Knows Better Than I) (R&B)
231949,Kyle Dion,Fly Little Bird
231950,TENDER,Erode
231951,PJ Morton,Black Beatles - Recorded at Spotify Studios NYC
231952,Snoh Aalegra,Home
231953,Aretha Franklin,Get It Right
231954,The Trammps,You Touch My Hot Line
231955,Sharon Jones & The Dap-Kings,Call On God
231956,Gill Chang,One For You
231957,Corinne Bailey Rae,Been To The Moon
231958,Nina Simone,Nobody Knows You When You're Down And Out - Live In New York/1965
231959,Opia,YDU (BKAYE Remix)
231960,Allan Rayman,December
231961,Netherfriends,Love Over Money
231962,Lisa Stansfield,8-3-1 - Remastered
231963,Alicia Keys,Work On It
231964,Luther Vandross,Creepin'
231965,Izzy Bizu,Diamond
231966,Majik,Save Me
231967,Lastlings,Verona
231968,Transviolet,Bad Intentions
231969,Set Mo,Wish You Were Here
231970,ELHAE,Slip & Fall (feat. Eric Bellinger)
231971,O. B. Buchana,Swing On
231972,Belly,You
231973,Gladys Knight & The Pips,If I Were Your Woman
231974,Tamar Braxton,Pieces
231975,Kyle Dion,No Strings
231976,The Staple Singers,This Little Light Of Mine
231977,Dionne Farris,I Know
231978,Erykah Badu,Searching - Live Version
231979,Robert Glasper Experiment,Thinkin Bout You - KAYTRANADA Remix
231980,The Undercover Dream Lovers,Feelin' Left Out
231981,The Staple Singers,A Hard Rain's Gonna Fall
231982,Lalah Hathaway,honestly
231983,The Moments,Sexy Mama
231984,Stevie Wonder,If Your Love Cannot Be Moved
231985,Esperanza Spalding,I Can't Help It
231986,12AM,No Good 4 U
231987,Derek Pope,Floor Is Lava
231988,Kem,Heaven
231989,Jamie Woon,Night Air
231990,Sam Cooke,Wonderful World
231991,Warm Brew,Small Victories
231992,The Spinners,The Rubberband Man - Single Version
231993,The Knocks,Shades - Viceroy Remix
231994,Gary Clark Jr.,Stay
231995,John Lee Hooker,I'm In The Mood - Single Version
231996,What So Not,Lone - Ribongia Remix
231997,Erykah Badu,U Don’t Have To Call
231998,Gerry Mulligan,Festive Minor
231999,Theo Katzman,Crappy Love Song
232000,Charlie Burg,Phillip's Bicycle (feat. DJ Shafer)
232001,The Trammps,Rubber Band
232002,Allan Rayman,Peach
232003,Johnny Yukon,All Out
232004,Solange,Dancing in the Dark
232005,Jamie Foxx,Love Changes
232006,Ann Peebles,"Trouble, Heartaches & Sadness"
232007,Diana Ross,Ain't No Mountain High Enough - Edit Version
232008,Ray Charles,Lonely Avenue
232009,24hrs,Keys To My Ride (feat. PnB Rock)
232010,Khai,For You
232011,Alicia Keys,The Gospel
232012,Babyface,The Loneliness
232013,Hiatus Kaiyote,Swamp Thing
232014,MOONZz,Gdbye
232015,Slow Magic,Closer
232016,Transviolet,New Bohemia
232017,Lianne La Havas,Empty - In Paris
232018,Sister Sledge,We Are Family - 2006 Remaster
232019,Maribou State,Tongue
232020,John Legend,Caught Up
232021,George Benson,Just One Of Those Things
232022,The Undercover Dream Lovers,Come Home - Beshken Remix
232023,Sofi de la Torre,Give up at 2
232024,St. Lucia,Bigger
232025,Broods,Freak Of Nature
232026,Shoffy,pushin
232027,Kyle Dion,White
232028,D'Angelo,Higher
232029,B.T. Express,Do It ('Til You're Satisfied)
232030,Johnny Polygon,Almost
232031,Mura Masa,Terrible Love
232032,Nina Simone,Work Song
232033,Jay & The Techniques,"Apples, Peaches, Pumpkin Pie"
232034,India.Arie,Moved By You
232035,Lianne La Havas,Au Cinéma
232036,Brenton Wood,Best Thing I Ever Had
232037,Netherfriends,Pay Me in Weed Not Money
232038,SWV,Anything
232039,Aretha Franklin,Spirit in the Dark
232040,FAVELA,Medals
232041,MANILA GREY,Backhouse Bounce
232042,24hrs,Leave LA (feat. Ty Dolla $ign & Dom Kennedy)
232043,Quincy Jones,Let The Good Times Roll
232044,James Brown,"Hot Pants, Parts 1 & 2"
232045,Madi Sipes & The Painted Blue,Blue Jean Baby
232046,Paolo Nutini,Loving You
232047,Haux,Caves - GXNXVS Remix
232048,Jorja Smith,Carry Me Home (Interlude)
232049,anders,You for You
232050,Major Lance,Please Don't Say No More
232051,Tamar Braxton,Blind
232052,Amir Obe,FREE
232053,Savoir Adore,Dreamers
232054,John Legend,By Christmas Eve
232055,BANKS,Under The Table
232056,Mýa,Best Of Me (Featuring Jadakiss)
232057,Panama,Always - Wave Racer Remix
232058,Capre,Acoustic Layers
232059,Gotts Street Park,Love In Bad Company - Alternate Version
232060,Jutes,Everything
232061,Samm Henshaw,Night Calls
232062,Rahsaan Patterson,Stop Breaking My Heart
232063,DeBarge,Love Me In A Special Way
232064,Robin Thicke,The Sweetest Love
232065,Smokey Robinson,Will You Love Me Tomorrow?
232066,Fabian Secon,Nowhere
232067,St. Paul & The Broken Bones,Apollo - KC Lights Remix
232068,Esperanza Spalding,Judas
232069,Stephanie Mills,Home
232070,[ K S R ],Queen
232071,Menahan Street Band,Black Velvet
232072,Benji Lewis,Never Mine
232073,Nina Simone,Here Comes the Sun
232074,Taj Mahal,Take a Giant Step - 1969 Version
232075,Changing Faces,Foolin' Around
232076,John Legend,Everybody Knows - Live from Spotify Milan
232077,DRAMA,I Choose You
232078,Erykah Badu,Me
232079,Betty Davis,Nasty Gal
232080,Mura Masa,Blu (feat. Damon Albarn)
232081,Phyllis Hyman,Living All Alone - Remastered
232082,The Roots,Mellow My Man
232083,Kyle Dion,Somethings We Can't Do
232084,Tamar Braxton,Heart In My Hands
232085,India.Arie,Beautiful Surprise
232086,BAYNK,Come Home - Hazey Eyes Remix
232087,Faith Evans,Love Like This - 2016 Remaster
232088,Donny Hathaway,Giving Up
232089,Sunni Colon,Little Things
232090,Luther Vandross,Evergreen
232091,UTAH,Hail the Underdog
232092,Jennifer Hudson,Dreamgirls
232093,Jimmy Ruffin,What Becomes of the Brokenhearted
232094,Janelle Monáe,Locked Inside
232095,Otis Redding,I've Got Dreams To Remember
232096,Mating Ritual,Drunk
232097,Jordan Solomon,Mean It
232098,Nellie Tiger Travis,Mr. Sexy Man
232099,RINI,Lay You Down
232100,Louis Prima,"Oh, Marie - Remastered"
232101,Mary Wells,Let Your Conscience Be Your Guide
232102,SMLE,Leave It All
232103,Glades,Drive (Mt. Eden Remix)
232104,Lianne La Havas,Never Get Enough
232105,Louis Futon,Silk Jam
